YearsExperience,Salary
12.1,76619.12
6.3,58511.94
2.0,46139.25
11.3,73922.26
7.6,62676.58
9.7,68845.86
4.2,52421.53
13.3,80238.79
9.3,67431.67
3.7,50884.27
5.7,57486.99
2.6,47783.7
4.3,52754.56
10.4,70823.09
11.9,76192.52
14.0,82306.36
9.2,67736.44
1.6,44309.75
6.4,59383.42
12.8,78261.5
6.6,59412.15
3.3,50020.03
14.8,84486.72
3.8,51155.75
6.0,58078.53
13.8,80968.46
11.5,74292.25
11.1,72934.52
14.2,82648.14
1.5,44560.85
11.8,74902.8
8.5,65523.55
12.1,76517.17
14.9,85172.4
6.9,60943.9
4.6,54297.71
4.8,54662.09
4.2,52292.08
2.6,47585.27
9.8,69454.26
3.0,49395.47
5.5,56524.89
4.8,54384.35
13.1,79585.9
14.8,84430.15
4.0,52017.12
13.6,80551.53
14.7,84163.42
12.9,78494.9
9.2,67943.16
4.6,53301.29
5.6,56834.0
14.6,83534.72
14.6,83435.51
1.3,44287.4
8.8,66349.61
1.9,45891.17
7.9,63784.8
3.1,49230.8
8.9,67186.59
11.1,73087.89
4.0,52225.84
4.6,54000.93
8.7,66452.09
9.4,67774.94
4.8,54459.66
2.0,45722.86
12.6,78221.43
14.1,82016.24
6.2,58982.24
8.4,65644.29
5.5,56832.8
12.0,75809.56
11.9,75544.8
6.0,57669.67
5.5,56777.59
8.0,63710.25
7.8,62925.5
4.2,52693.81
7.9,63489.37
9.8,69863.56
7.0,60605.89
1.9,45951.18
3.7,51250.74
14.2,82582.17
12.0,75681.25
12.0,75735.68
12.4,76737.67
5.8,56964.85
11.0,72907.44
1.8,45524.88
8.3,64472.78
6.4,58730.64
12.8,78462.24
4.2,52596.41
8.2,64500.75
6.0,57883.26
11.8,75191.47
10.1,70490.73
1.3,44240.93
10.2,70535.21
13.0,79161.44
14.7,83762.71
7.9,63687.78
13.2,79105.86
3.5,50877.91
1.2,43554.64
10.3,70725.62
12.3,77230.57
4.6,53302.06
5.4,56288.52
5.4,56567.46
6.9,60648.86
13.9,81557.37
9.5,68764.94
5.8,57208.19
12.4,77328.3
9.4,68342.51
12.8,78528.35
1.6,45269.2
